Definition,Description
khấu hao tài sản vô hình,"Khấu hao tài sản vô hình (1). Khấu hao hay hao mòn tài sản vô hình (Amortization) là quá trình phần bổ và hạch toán chi phí của tài sản vô hình &nbsp;trong toàn bộ thời gian sử dụng hữu ích của nó. Chi phí khấu hao tài sản vô hình làm giảm lợi nhuận của doanh nghiệp trong năm tài chính , và giảm thuế thu nhập doanh nghiệp. Khấu hao tài sản vô hình (2). Tài sản vô hình là các loại tài sản không có hình thái vật chất, ví dụ như bằng sáng chế, thương hiệu, bản quyền, thỏa thuận nhượng quyền thương mại,... Khác với tài sản hữu hình, các tài sản này thường không còn bất kỳ giá trị thu hồi nào, và doanh nghiệp sẽ ghi nhận chi phí của chúng cho tới khi chúng hết giá trị. Khấu hao tài sản vô hình (3). Tại Việt Nam, thời gian tính khấu hao của tài sản cố định vô hình tối đa không quá 20 năm, và tỷ lệ hao mòn thường tối thiểu là  5%/năm."
đầu tư brownfield,"Đầu tư Brownfield (1). Đầu tư Brownfield (Brownfield investment) là một chiến lược đầu tư nước ngoài, kết hợp giữa đầu tư gián tiếp và đầu tư Greenfield .&nbsp; Theo đó, một công ty hoặc chính phủ tận dụng cơ sở hạ tầng hay đất đai hiện có tại quốc gia khác bằng cách sáp nhập, mua lại hoặc thuê từ một đối tác địa phương và cải tiến chúng phù hợp với mô hình kinh doanh, quy trình sản xuất của họ. Đầu tư Brownfield (2). Nhờ đặc điểm này mà dự án đầu tư Brownfield giúp các công ty tiết kiệm chi phí và thời gian hơn so với đầu tư Greenfiled và có thể thu hồi vốn nhanh chóng hơn. Tuy nhiên, đất được sử dụng trong các dự án đầu tư Brownfield thường đã bị bỏ hoang, ô nhiễm hoặc không phù hợp hoàn toàn với mục đích kinh doanh nên có thể phát sinh chi phí bổ sung để khắc phục."
đầu tư xanh,"Đầu tư xanh (1). Đầu tư xanh (Green investment) đề cập đến việc đầu tư vào các dự án, doanh nghiệp hướng đến các mục tiêu thân thiện với môi trường và bảo tồn tài nguyên thiên nhiên. Ví dụ như phát triển và sản xuất các nguồn năng lượng thay thế, cung cấp nước sạch hay giảm lượng khí thải… Đầu tư xanh (2). Theo đó, những dự án đầu tư này thường gắn liền với các các chuẩn mực như Đầu tư Môi trường, Xã hội và Quản trị (ESG), Đầu tư có trách nhiệm xã hội (SRI)... Ngày nay, người tiêu dùng không chỉ quan tâm đến giá cả, chất lượng mà còn hướng đến các sản phẩm xanh và thân thiện với môi trường. Đầu tư xanh (3). Điều này tạo động lực cho các doanh nghiệp cần phải tăng cường đầu tư cho các dự án, sản phẩm xanh, có lợi cho môi trường, cũng như đưa ra đa dạng các hình thức huy động vốn từ các nhà đầu tư đầu tư theo tiêu chí có trách nhiệm xã hội (ESG)."
chính sách abenomics,"Abenomics (1). Abenomics là chính sách kinh tế của Thủ tướng Nhật Bản Shinzo Abe, nhằm mục đích khôi phục nền kinh tế Nhật Bản sau nhiều năm suy thoái và giảm phát.&nbsp;Abenomics là từ ghép giữa Abe và economics, thể hiện sự quyết tâm của Thủ tướng Abe trong việc đưa nền kinh tế Nhật Bản trở lại quỹ đạo tăng trưởng bền vững.&nbsp;Abenomics là một tập hợp các chính sách kinh tế được Thủ tướng Nhật Bản Shinzo Abe ủng hộ khi ông lên nắm quyền lần thứ hai vào năm 2012. Abenomics (2). Abenomics bao gồm ba mũi tên chính: nới lỏng tiền tệ, kích thích tài khóa và cải cách cơ cấu&nbsp;để kích thích nền kinh tế và thực hiện các cải cách kinh tế và quy định để giúp Nhật Bản cạnh tranh hơn trên thị trường toàn cầu.&nbsp; Abenomics được kỳ vọng sẽ tạo ra lạm phát nhẹ, tăng cường xuất khẩu, thúc đẩy tiêu dùng và đầu tư, và nâng cao năng lực cạnh tranh của các doanh nghiệp Nhật Bản. Abenomics có hiệu quả không?. Giống như tất cả các chính sách kinh tế của Nhật Bản, Abenomics đôi khi đã có lúc&nbsp;phát huy hiệu quả và đôi khi không phát huy được tốt. Mục tiêu lạm phát đã đạt được và tỷ lệ thất nghiệp của Nhật Bản thấp hơn hơn 2% so với thời điểm ông Abe lên nắm quyền lần thứ hai. Tương tự, GDP danh nghĩa đã tăng lên và lợi nhuận trước thuế cũng như doanh thu thuế của doanh nghiệp đều tăng đáng kể. Tuy nhiên, những giai đoạn thành công của Nhật Bản bị ảnh hưởng bởi tình hình&nbsp;kinh tế toàn cầu và vấn đề quan trọng nhất của Nhật bản đó là dân số già đi nhanh chóng."
lợi tức bất thường,"Lợi tức bất thường (1). Lợi tức bất thường (Abnormal return) mô tả khoản lãi hoặc lỗ lớn bất thường được tạo ra bởi một khoản đầu tư trong một khoảng thời gian xác định, và nó khác xa với mức tỷ suất sinh lời &nbsp;được dự đoán, do một trong những sự kiện bất thường tạo ra. Ví dụ, kiếm được 30% từ một quỹ tương hỗ&nbsp;mà tỷ suất dự kiến trung bình của nó chỉ là 10%/năm sẽ được xem như là tạo ra một khoản lợi tức bất thường dương bằng 20%. Ngược lại, nếu lợi tức thực tế là 5%, thì điều này sẽ tạo ra lợi tức bất thường âm là 5%. Lợi tức bất thường (2). Lưu ý là lợi tức bất thường khác với lợi tức cao hơn bình thường, tuy cũng được hiểu là mức lợi nhuận đạt được trên mức dự đoán và vượt hơn lợi nhuận trung bình toàn ngành.&nbsp;Nhưng lợi tức cao hơn bình thường được đạt tới là do hiệu suất của các khoản đầu tư nổi trội và cao hơn so với dự kiến ban đầu. Lợi tức bất thường (3). Trong khi đó, lợi tức bất thường thường được kích hoạt bởi các sự kiện, như là sáp nhập công ty, thông báo cổ tức hay thu nhập của công ty, tăng lãi suất, các vụ kiện tụng, v.v. tất cả đều có thể góp phần tạo ra một mức lợi nhuận bất thường ở các cổ phiếu.&nbsp;Các sự kiện trong lĩnh vực tài chính thường sẽ luôn được thị trường phản ánh vào giá của chứng khoán."
bảng sao kê tài khoản,"Bảng sao kê tài khoản (1). Bảng sao kê tài khoản (Account statement) là một tài liệu chứng minh các giao dịch tài chính của một tài khoản trong một khoảng thời gian nhất định, hay còn được gọi là báo cáo tài khoản. Báo cáo tài khoản được cung cấp bởi các tổ chức tài chính như ngân hàng, công ty chứng khoán, công ty bảo hiểm, v.v cho khách hàng.&nbsp; Báo cáo tài khoản giúp khách hàng kiểm tra và theo dõi tình hình tài chính của mình, đồng thời phát hiện và báo cáo các giao dịch sai sót hoặc gian lận. Báo cáo tài khoản cũng có thể được sử dụng làm bằng chứng cho các mục đích khác như xin vay, xác minh thu nhập, khai thuế, v.v. Bảng sao kê tài khoản (2). Bảng sao kê tài khoản có thể bao gồm các thông tin sau: - Số dư đầu kỳ và cuối kỳ của tài khoản - Các khoản thu và chi trong kỳ - Các khoản lãi suất, phí dịch vụ, thuế hoặc các khoản khấu trừ khác - Các giao dịch chuyển tiền, rút tiền, mua bán chứng khoán, vay nợ, trả nợ, v.v. - Các thông tin liên quan đến tài sản, nợ phải trả, quyền lợi bảo hiểm, v.v."
lợi thế tuyệt đối,"Lợi thế tuyệt đối (1). Lợi thế tuyệt đối (Absolute advantage) là khái niệm kinh tế học chỉ sự ưu thế của một quốc gia, doanh nghiệp hoặc cá nhân trong việc sản xuất một mặt hàng hoặc dịch vụ so với các đối thủ cạnh tranh. Lợi thế tuyệt đối (2). Một bên có lợi thế tuyệt đối là khi nó có thể sản xuất nhiều hơn hoặc chất lượng cao hơn với cùng một lượng nguồn lực hoặc chi phí như bên kia.&nbsp; Lợi thế tuyệt đối là một trong những yếu tố quan trọng để xác định lợi thế cạnh tranh và khả năng tham gia vào thương mại quốc tế."
lợi nhuận tuyệt đối,"Lợi nhuận tuyệt đối (1). Lợi nhuận tuyệt đối (Absolute return) là thước đo đề cập đến số tiền lợi nhuận mà một khoản đầu tư hay một tài sản kiếm được trong một khoản thời gian nhất định, được thể hiện dưới dạng phần trăm và có thể là âm hoặc dương.&nbsp;Lợi nhuận tuyệt đối khác với lợi nhuận tương đối &nbsp;vì nó chỉ xem xét đến lợi nhuận đạt được (lãi hoặc lỗ) của một tài sản nhất định, và hoàn toàn độc lập với bất kỳ chỉ số chứng khoán, tiêu chuẩn ngành hoặc quỹ danh mục tiêu chuẩn nào đó. Lợi nhuận tuyệt đối (2). Ví dụ, bạn mua cổ phiếu XYZ với giá 50,000đ và bán ra ở mức 55,000đ, lợi nhuận tuyệt đối của khoản đầu tư này là 10% (tương đương 5,000đ)."
hệ số hấp thụ,"Hệ số hấp thụ (1). Hệ số hấp thụ (3) Hệ số hấp thụ (Absorption rate) là một chỉ số quan trọng trong thị trường bất động sản , vì nó cho biết tốc độ bán hoặc cho thuê nhà ở trong một khu vực cụ thể. Nó được tính bằng cách chia số lượng nhà ở được bán hoặc cho thuê trong một khoảng thời gian nhất định cho tổng số nhà ở sẵn có trong khu vực đó. Hệ số hấp thụ có thể giúp người mua, người bán và nhà phát triển bất động sản đánh giá được xu hướng và nhu cầu của thị trường, cũng như đưa ra các quyết định phù hợp về giá cả và thời điểm giao dịch. Hệ số hấp thụ (2). Hệ số hấp thụ cao cho biết thị trường có nhiều người mua hoặc người thuê hơn so với nguồn cung nhà ở, do đó tạo ra lợi thế cho người bán và khuyến khích việc xây dựng nhà mới. Ngược lại, hệ số hấp thụ thấp cho biết thị trường có nhiều nhà ở hơn so với nhu cầu, do đó tạo ra lợi thế cho người mua và yêu cầu người bán giảm giá để thu hút khách hàng."
số dư tài khoản,"Số dư tài khoản (1). Số dư tài khoản (Account balance) là số tiền còn lại trong một tài khoản tài chính tại một thời điểm cụ thể. Số dư tài khoản = Tổng số tiền ra khỏi tài khoản - Tổng số tiền gửi vào tài khoản Số dư tài khoản (2). Số dư tài khoản có thể được áp dụng cho nhiều loại tài khoản khác nhau, chẳng hạn như tài khoản tiết kiệm, tài khoản vãng lai, tài khoản thẻ tín dụng, hoặc tài khoản đầu tư. Nó giúp người sử dụng biết được lượng tiền mà họ có thể sử dụng hoặc phải trả cho các giao dịch tài chính khác nhau."
số tài khoản,"Số tài khoản (1). Số tài khoản (Account number) là một chuỗi số duy nhất và đôi khi cũng có thể bao gồm các chữ cái và các ký tự khác nhằm xác định chủ sở hữu của một dịch vụ và cho phép truy cập vào dịch vụ đó. Ví dụ, số tài khoản của một tài khoản ngân hàng là một chuỗi số do ngân hàng cấp khi khách hàng mở tài khoản tại ngân hàng đó. Số tài khoản (2). Số tài khoản giúp khách hàng thực hiện các giao dịch trên tài khoản như chuyển tiền, nhận tiền, thanh toán. Số tài khoản có thể chứa các thông tin được mã hóa cho các mục đích bảo mật nội bộ."
các phân loại cổ phiếu khác,"Các phân loại cổ phiếu khác . Phần trước, bạn đã làm quen với hai loại cổ phiếu phổ biến được phân loại dựa vào đặc tính phát hành, là cổ phiếu phổ thông và cổ phiếu ưu đãi. Trên thực tế, cổ phiếu có các loại được phân biệt dựa trên các khía cạnh khác nhau, hãy tìm hiểu trong bài này cùng Tititada nhé! Cổ phiếu giá trị  (1). Cổ phiếu giá trị đề cập đến nhóm cổ phiếu đang được giao dịch ở mức thấp hơn giá trị thực của công ty đó. Đây là các công ty có giá trị sử dụng thực tiễn, tài sản và dòng tiền ổn định, cũng như thường chi trả cổ tức cao. Cổ phiếu giá trị  (2). Vì giá thị trường của cổ phiếu giá trị thường không phản ánh đúng kết quả hoạt động của công ty, nên các nhà đầu tư thường mua cổ phiếu này với niềm tin rằng giá cổ phiếu sẽ tăng khi thị trường nhận ra giá trị thực của công ty. Cổ phiếu tăng trưởng (1). Cổ phiếu tăng trưởng &nbsp;là cổ phiếu của công ty được dự đoán có tiềm năng tăng trưởng vượt trội trong thị trường và có tiềm năng tăng trưởng lớn trong tương lai. Những cổ phiếu này thường không trả cổ tức, do công ty muốn giữ lại các khoản thu nhập để tái đầu tư. Cổ phiếu tăng trưởng (2). Từ đó giúp đẩy nhanh tốc độ tăng trưởng kinh doanh cũng như doanh thu của công ty. Do thường không trả cổ tức, nên đầu tư vào loại cổ phiếu này được xem là khá rủi ro. Bởi cơ hội duy nhất mà nhà đầu tư có thể kiếm được tiền là khi giá cổ phiếu tăng và họ nhận được lãi vốn. Cổ phiếu theo vốn hóa (1). Cổ phiếu vốn hóa lớn (blue–chip) là cổ phiếu của&nbsp;các công ty có vốn hoá thị trường lớn hơn 10,000 tỷ đồng, uy tín với lịch sử hình thành lâu dài và tài chính vững chắc được thị trường chung công nhận. Các công ty này hiện chiếm khoảng 60% vốn hóa thị trường. Cổ phiếu theo vốn hóa (2). Do đó, nhóm cổ phiếu vốn hóa lớn có tính thanh khoản cao, khá an toàn, và cũng có thể được xem là cổ phiếu giá trị. Các cổ phiếu này thường&nbsp;nhận được sự chú ý đặc biệt của mọi nhà đầu tư, vì hoạt động của chúng có sức ảnh hưởng đến toàn thị trường chứng khoán. Cổ phiếu theo vốn hóa (3). Cổ phiếu vốn hóa vừa (hay mid-cap) là cổ phiếu của các công ty có vốn hóa từ 1,000 đến 10,000 tỷ đồng, và có quy mô vừa phải, không quá lớn nhưng cũng không quá nhỏ. Các công ty này đang trên đà phát triển và có thể có sức tăng trưởng mạnh mẽ trong tương lai. Cổ phiếu theo vốn hóa (4). Cổ phiếu vốn hóa vừa cũng thường có khả năng cao là&nbsp;cổ phiếu tăng trưởng. Cổ phiếu này có thể đem đến mức sinh lời hấp dẫn hơn cổ phiếu vốn hóa lớn. Do đó, chúng thường thu hút các nhà đầu tư có mức độ chấp nhận rủi ro trung bình. Cổ phiếu theo vốn hóa (5). Cổ phiếu vốn hóa nhỏ (small-cap hay penny), là cổ phiếu của các công ty có vốn hóa từ 100 tỷ đến 1,000 tỷ đồng. Nhiều cổ phiếu trong số này thường có giá thị trường thấp hơn mệnh giá 10,000đ/cổ phiếu, và hay được gọi vui là “cổ phiếu trà đá”. Cổ phiếu theo vốn hóa (6). Cổ phiếu vốn hóa nhỏ này thường có thanh khoản kém và mức độ rủi ro về biến động giá cao. Chúng có thể tăng rất nhanh trong giai đoạn hưng phấn của thị trường, nhưng sau đó cũng có thể trượt dốc mạnh và thậm chí mất thanh khoản khi không còn ai muốn mua vào. Các phân loại cổ phiếu khác (1). Cổ phiếu thu nhập đề cập tới nhóm cổ phiếu trả cổ tức đều đặn, như cổ phiếu blue-chip, đem lại thu nhập thường xuyên và ổn định cho nhà đầu tư với rủi ro thấp. Hầu hết giá cổ phiếu này biến động ít hơn so với thị trường chung, mang lại cổ tức bền vững và thường có xu hướng tăng. Các phân loại cổ phiếu khác (2). Cổ phiếu thu nhập có thể thuộc bất kỳ nhóm ngành nào, nhưng chúng thường thuộc nhóm bất động sản (có thể thông qua quỹ ủy thác đầu tư bất động sản, REIT), năng lượng, tiện ích, tài nguyên thiên nhiên và các tổ chức tài chính. Các phân loại cổ phiếu khác (3). Cổ phiếu đầu cơ có thể thuộc các công ty có giá trị vốn hóa nhỏ, mới nổi và nhà đầu tư kỳ vọng sẽ đạt được lợi nhuận cao trong tương lai gần, tuy cũng phải chịu mức độ rủi ro rất cao. Các phân loại cổ phiếu khác (4). Nhóm cổ phiếu đầu cơ thường được mua vào với số lượng lớn ở mức giá thấp để tạo ra sự khan hiếm trên thị trường. Khi nhu cầu mua tăng lên, giá cổ phiếu tăng vượt xa giá trị thực của chúng. Các phân loại cổ phiếu khác (5). Do sự chênh lệch giá của nhóm cổ phiếu đầu cơ cao hơn nhiều so với các nhóm cổ phiếu thông thường, nên chúng thường hấp dẫn các nhà đầu tư ngắn hạn. Hãy cùng nhìn lại! (1). Trên thực tế, có rất nhiều tiêu chí phân loại cổ phiếu&nbsp;khác nhau,&nbsp;đáp ứng từng nhu cầu của mỗi nhà đầu tư trên thị trường chứng khoán.&nbsp; Các nhà đầu tư nên tìm hiểu các đặc điểm mỗi loại cổ phiếu đáp ứng mục tiêu đầu tư và khẩu vị rủi ro của mình."
cách chọn mua cổ phiếu,"Các bước chọn mua cổ phiếu . Dưới đây là 5 bước Tititada gợi ý cho bạn trong việc lựa chọn một cổ phiếu Bước 1 :&nbsp;bạn cần xác định số tiền mình muốn đầu tư, vốn ban đầu bạn có thể bỏ ra, trong một khoảng thời gian xác định. Bước 2: bạn cần xác định mức sinh lời mong muốn và mức độ chấp nhận rủi ro của mình. 1. Xác định các điều cơ bản (2). Chúng bao gồm lợi nhuận bạn kỳ vọng nhận được, như 10%/năm; thời gian dự định nắm giữ cổ phiếu, như 6 tháng hay 1 năm; và mức chấp nhận thua lỗ của bạn, nghĩa là bạn sẵn sàng chịu mất bao nhiêu tiền. 1. Xác định các điều cơ bản (3). Nếu bạn mong muốn nhận được lợi nhuận cao hơn hình thức tiền gửi ngân hàng, cho dù có thể phải nắm giữ dài hạn (trên 1 năm), hay đối mặt với rủi ro do biến động thị trường. Khi đó, cổ phiếu sẽ là kênh đầu tư phù hợp với bạn! 2. Xác định chiến lược đầu tư (1). Bước 3 :&nbsp;bạn cần xác định một trong hai cách đầu tư sau: - Đầu tư chủ động: tự tìm hiểu các công ty niêm yết và chọn ra cổ phiếu có khả năng tăng trưởng để đầu tư; sau đó theo dõi và tự quản lý các khoản đầu tư của mình. 2. Xác định chiến lược đầu tư (2). - Đầu tư thụ động: mua các chứng chỉ quỹ hoặc chứng chỉ quỹ hoán đổi danh mục (ETF) và để các chuyên gia tài chính đầu tư, quản lý cho bạn. Bạn sẽ nhận được lợi tức tương đối bằng với mức tăng trưởng chung của thị trường chứng khoán. 3. Chọn lọc cổ phiếu (1). Nếu bạn đầu tư chủ động bằng việc mua cổ phần của các công ty niêm yết, bạn cần tìm hiểu và lựa chọn cổ phiếu theo một trong hai phương pháp phổ biến sau đây: - Phương pháp top-down - Phương pháp bottom-up 3. Chọn lọc cổ phiếu (2). Top-down: chọn ngành bạn cho là sẽ tăng trưởng tốt trong tương lai và chọn một doanh nghiệp niêm yết tốt nhất trong ngành để đầu tư. Bottom-up: tìm hiểu các công ty qua thương hiệu bạn thường quan tâm trên các tiêu chí như tăng trưởng doanh thu, lợi nhuận, tỷ suất sinh lời, v.v. 4. Phân tích cổ phiếu . Bước 4: &nbsp;Phân tích cổ phiếu hay tìm hiểu định giá công ty sẽ giúp bạn tìm được giá mua thích hợp. Theo đó, hai phương pháp phân tích cổ phiếu phổ biến nhất hiện nay là: Phân tích cơ bản và Phân tích kỹ thuật. Tititada sẽ giới thiệu hai phương pháp này trong những phần kiến thức sau nhé. 5. Theo dõi/mua cổ phiếu (1). Sau khi tìm được một hoặc một vài công ty/mã cổ phiếu tiềm năng, bạn hãy bổ sung những công ty đó vào “danh sách theo dõi” của mình ,hoặc thử mua 1 cổ phiếu và quan sát biến động giá theo thời gian. 5. Theo dõi/mua cổ phiếu (2). Sau một thời gian nắm giữ, bạn có thể đánh giá hiệu quả của cổ phiếu và xem thêm thông tin trước khi quyết định phân bổ nhiều tiền hơn cho chúng, hoặc bán chúng. Nếu là một nhà đầu tư mới, bạn có thể dựa trên các yếu tố cơ bản dưới đây để đưa ra quyết định mua cổ phiếu. Cập nhật thị trường . Thị trường chứng khoán phản ứng rất nhanh với tin tức, chúng có thể khiến giá cổ phiếu thay đổi nhanh chóng. Bạn nên cập nhật tin tức để tìm ra mối liên quan giữa tin tức và xu hướng thị trường. Từ đó có thể đánh giá xu hướng biến động giá cổ phiếu, và quyết định giá mua hợp lý. Độ biến động . Độ biến động đo lường mức tăng/giảm giá tương đối của cổ phiếu so với toàn thị trường. Những công ty gặp khó khăn trong hoạt động kinh doanh sẽ làm ảnh hưởng đến sự tăng/giảm giá cổ phiếu. Nhờ quan sát những thay đổi này, bạn có thể lựa chọn thời điểm mua hợp lý. Khối lượng giao dịch  . Đây là số lượng cổ phần của một cổ phiếu được mua và bán trong một khoảng thời gian nhất định. Khối lượng giao dịch cao cho thấy có nhiều người quan tâm đến cổ phiếu đó và ngược lại, có thể ảnh hưởng đến xu hướng tăng/giảm của cổ phiếu. Giá trị thực của công ty . Đây là giá trị tài sản, khả năng tăng trưởng và tiềm năng của công ty, thường được tính bằng các phương pháp định giá khác nhau. Xem xét giá trị thực giúp bạn đảm bảo giá cổ phiếu đang được giao dịch ở mức giá hợp lý, không quá cao hay quá thấp so với giá trị thực của công ty. Khi nào nên bán cổ phiếu (1). Bước 5: &nbsp;Sau khi mua cổ phiếu, việc tiếp theo bạn cần làm là xác định thời điểm tốt để bán cổ phiếu. Đó có thể là thời điểm bạn đạt được lợi nhuận tối ưu hay thời điểm tốt nhất để cắt lỗ trước khi mất vốn trong trường hợp tình hình kinh doanh của công ty có diễn biến không thuận lợi.&nbsp; Khi nào nên bán cổ phiếu (2). Bạn có thể xác định thời điểm bán bằng cách xem xét các chỉ số tài chính của công ty và dự đoán khi nào giá cổ phiếu cao hơn giá trị thực của công ty.&nbsp; Lựa chọn cổ phiếu, xác định thời điểm mua, bán cổ phiếu tùy thuộc vào lợi nhuận kỳ vọng, mức độ chấp nhận rủi ro và thời hạn đầu tư của mỗi người. Hãy cùng nhìn lại! . Để tối đa hóa lợi nhuận và hạn chế các rủi ro, bạn cần trang bị kiến thức và tìm hiểu trước khi bắt đầu đầu tư và theo dõi cổ phiếu định kỳ sau khi đầu tư."
khấu hao nhanh,"Phương pháp khấu hao nhanh (1). Khấu hao nhanh (Accelerated depreciation)&nbsp;là phương pháp tính khấu hao khiến giá trị sổ sách &nbsp;của tài sản giảm nhanh hơn&nbsp;trong những năm đầu tiên sử dụng và chậm lại sau đó. Phương pháp này giúp doanh nghiệp nhanh chóng thu hồi vốn đầu tư và tạo ra lá chắn thuế. Phương pháp khấu hao nhanh (2). Có hai phương pháp khấu hao nhanh phổ biến là: (1) Khấu hao theo số dư giảm dần, và (2) Khấu hao theo tổng số thứ tự năm sử dụng. Phương pháp khấu hao nhanh (3). Phương pháp khấu hao theo số dư giảm dần là mức khấu hao hàng năm được xác định bằng cách lấy giá trị còn lại của tài sản cố định &nbsp;nhân với tỷ lệ khấu hao nhanh. Tỷ lệ khấu hao nhanh = Tỷ lệ khấu hao bình quân x Hệ số điều chỉnh khấu hao nhanh. Phương pháp khấu hao nhanh (4). Phương pháp khấu hao theo tổng số thứ tự năm sử dụng là mức khấu hao hàng năm được xác định bằng cách lấy nguyên giá tài sản cố định nhân với tỷ lệ khấu hao của từng năm. Tỷ lệ khấu hao của từng năm = Số năm sử dụng còn lại của tài sản cố định / Tổng số thứ tự năm sử dụng."
cổ phiếu là gì?,"Cổ phiếu là gì? (1). Cổ phiếu là một loại chứng khoán thường được phát hành bởi một công ty hoặc tập đoàn để huy động vốn từ các nhà đầu tư. Loại tài sản này như một giấy chứng nhận quyền sở hữu của nhà đầu tư đối với một hoặc một số cổ phần của công ty đó. Cổ phiếu là gì? (2). Bằng việc mua cổ phiếu, nhà đầu tư trở thành một cổ đông của công ty đó và có quyền tham gia vào quyết định của công ty trong các cuộc họp cổ đông, được chia sẻ lợi nhuận của công ty qua việc nhận cổ tức và có thể tăng giá trị tài sản của mình khi giá cổ phiếu tăng lên. Tại sao công ty phát hành cổ phiếu? (1). Công ty phát hành cổ phiếu để huy động vốn từ các nhà đầu tư cá nhân và tổ chức. Cổ phiếu niêm yết là cổ phiếu được chào bán ra đại chúng cho hơn 100 nhà đầu tư và sau đó niêm yết trên thị trường chứng khoán để các nhà đầu tư sở hữu cổ phiếu&nbsp;tham gia mua bán, giao dịch. Tại sao công ty phát hành cổ phiếu? (2). Trong quá trình phát hành cổ phiếu mới, công ty thu được số tiền tương ứng với giá trị của các cổ phiếu được chào bán ra, và sau đó sử dụng tiền vốn huy động đó để đầu tư vào hoạt động kinh doanh hoặc để chi trả các khoản nợ và chi phí khác tùy theo mục đích huy động vốn ban đầu. Tại sao công ty phát hành cổ phiếu? (3). Việc phát hành cổ phiếu cũng giúp công ty mở rộng quy mô hoạt động và tăng khả năng tiếp cận với các nguồn vốn khác, như vay ngân hàng hay hợp tác đầu tư từ các đối tác. Cách công ty phát hành cổ phiếu (1). Công ty có thể phát hành cổ phiếu thông qua một số cách như sau: 1. Phát hành lần đầu ra công chúng (IPO): Đây là quá trình công ty đưa cổ phiếu lên sàn giao dịch chứng khoán lần đầu tiên để bán cho công chúng và các nhà đầu tư, và trở thành một công ty đại chúng. Cách công ty phát hành cổ phiếu (2). 2. Phát hành cổ phiếu để chia cổ tức: Khi công ty có lợi nhuận, họ có thể quyết định phát hành cổ phiếu để chia cổ tức cho các cổ đông hiện tại. Các cổ phiếu này sẽ được phát hành miễn phí hoặc với giá ưu đãi để thưởng cho các cổ đông đã đầu tư vào công ty. Cách công ty phát hành cổ phiếu (3). 3. Phát hành&nbsp;Quyền mua: Đây là quá trình công ty phát hành thêm cổ phiếu dưới dạng quyền mua với giá ưu đãi cho các cổ đông hiện tại. Nhà đầu&nbsp;tư sẽ đăng ký mua quyền và thanh toán tiền mua. Trong trường hợp nhà đầu&nbsp;tư không đăng ký, thì quyền&nbsp;mua chưa phân phối&nbsp;có thể phân bổ cho các nhà đầu tư còn lại.&nbsp; Các loại cổ phiếu phát hành . Có nhiều loại cổ phiếu được phát hành, tùy thuộc vào quy định của từng quốc gia và pháp luật chứng khoán. Tuy nhiên, có hai loại cổ phiếu phổ biến nhất mà hầu hết các công ty đều phát hành: - Cổ phiếu phổ thông - Cổ phiếu ưu đãi Cổ phiếu phổ thông (1). Cổ phiếu phổ thông được xem là loại cổ phần cơ bản nhất, đại diện cho quyền sở hữu của các cổ đông trong công ty đó. Các cổ đông sở hữu loại cổ phiếu này được gọi là cổ đông phổ thông.&nbsp; Cổ phiếu phổ thông (2). Loại cổ phiếu này được niêm yết và giao dịch tự do trên sàn chứng khoán.&nbsp;Giá cổ phiếu phổ thông thường biến động hơn cổ phiếu ưu đãi, do bị ảnh hưởng từ hiệu quả hoạt động công ty và cung-cầu trên thị trường. Cổ phiếu phổ thông (3). Khi nắm giữ cổ phiếu phổ thông, cổ đông sẽ có các quyền sau: - Tự do chuyển nhượng - Quyền biểu quyết đối với các quyết định của công ty tại Đại hội đồng cổ đông - Được hưởng cổ tức dựa trên kết quả kinh doanh và giá trị cổ phiếu đang nắm giữ Cổ phiếu ưu đãi (1). Cổ phiếu ưu đãi là một loại chứng khoán có thu nhập cố định, lai giữa cổ phiếu và trái phiếu.&nbsp;Cổ đông ưu đãi không có quyền biểu quyết, nhưng được ưu tiên chi trả cổ tức (có thể ở một tỷ lệ cố định) và bồi thường trong trường hợp công ty phá sản. Cổ phiếu ưu đãi (2). Loại cổ phiếu này không được niêm yết trên sàn giao dịch chứng khoán, mà quá trình mua bán thường diễn ra trực tiếp giữa công ty và các nhà đầu tư. Cổ phiếu ưu đãi có thể được chuyển đổi sang cổ phiếu phổ thông, điều này mang lại tiềm năng tăng vốn bổ sung cho công ty. Cổ phiếu ưu đãi (3). Cổ phiếu ưu đãi thường được phát hành bởi các công ty lớn muốn thu hút nhà đầu tư dài hạn. Nếu công ty phát hành cổ phiếu ưu đãi với tỷ lệ cổ tức là 6%, các cổ đông ưu đãi sẽ được trả cổ tức này trước khi các cổ đông phổ thông nhận được bất kỳ lợi tức nào. Hãy cùng nhìn lại! (1). Sau đây là những gì Tititada đã mang lại cho bạn trong bài này: - Cổ phiếu là gì? - Tại sao công ty phát hành cổ phiếu - Công ty có thể phát hành cổ phiếu bằng cách nào? - Các loại cổ phiếu phát hành Hãy cùng nhìn lại! (2). Chúc mừng bạn đã bước đầu làm quen với cổ phiếu, cổ phiếu phổ thông và cổ phiếu ưu đãi, cũng như tìm hiểu điểm khác biệt giữa hai loại cổ phiếu này. Bài tiếp theo, Tititada sẽ giúp bạn tìm hiểu thêm về các loại cổ phiếu phổ thông được phân loại dựa trên đặc điểm của chúng nhé!"
